Daniel Seabra,X,1,2,X,1,1,X,2,X
Daniela Andrade,X,1,2,1,2,1,X,1,1
Daniela Rodrigues,2,X,2,2,1,2,1,X,X
Antonio Andrade,2,1,X,X,2,X,2,2,1
Luis Abreu,X,X,1,X,X,X,X,X,2
Filipa Santos,1,2,X,1,2,1,X,2,2
Joao Rodrigues,2,X,2,2,X,1,2,1,X
Daniela Trindade,2,X,1,X,X,X,2,X,1
Antonio Andrade,2,1,2,X,X,2,2,1,X
Beatriz Nunes,2,1,X,1,1,1,2,2,2
Luisa Nunes,X,1,2,1,2,1,2,1,X
Joana Andrade,2,1,1,1,1,1,1,2,1
Carlos Nunes,1,1,2,1,1,X,2,X,X
Beatriz Pereira,2,X,2,X,1,1,X,1,1
Filipa Abreu,X,X,2,X,X,X,2,1,1
Bernardo Bastos,X,2,1,2,1,1,X,X,1
Beatriz Salgado,X,X,X,1,2,2,X,2,1
Helena Pinto,X,1,X,X,1,X,X,1,X
Antonio Trindade,X,X,2,2,2,1,X,X,X
Luis Teixera,2,X,X,X,1,1,1,2,X
Filipe Gomes,1,1,1,2,X,1,X,2,X
Luisa Teixera,X,2,1,2,1,X,X,X,X
Carla Nunes,1,X,1,X,X,2,2,X,X
Beatriz Teixera,1,2,1,1,X,1,X,2,1
Ana Pereira,X,1,X,X,2,2,X,X,1
Bernardo Bastos,2,1,2,2,2,X,X,X,X
Filipa Nunes,1,2,2,2,X,1,X,1,1
Antonio Batista,2,X,2,1,2,X,1,X,X
Luisa Gomes,2,X,1,X,1,1,2,2,2
Helena Aguiar,2,X,X,X,2,X,1,1,1
Eduarda Santos,X,2,X,X,X,X,2,X,X
Eduardo Trindade,X,1,X,2,X,1,X,2,2
Daniel Aguiar,2,1,X,1,X,2,1,X,1
Filipe Trindade,2,1,1,1,2,X,1,X,1
Joana Lopes,1,X,1,X,2,1,2,2,X
Joana Rodrigues,2,1,1,X,2,X,1,X,1
Luis Seabra,1,2,2,2,X,X,X,2,2
Bernardo Gomes,2,2,X,1,X,2,X,X,X
Beatriz Bastos,X,2,X,2,X,1,X,1,1
Eduardo Gomes,1,2,1,2,2,X,1,2,2
Helena Andrade,X,1,1,1,2,2,2,1,X
Daniela Salgado,X,1,2,1,2,X,2,1,1
Carlos Pereira,2,1,2,X,1,2,2,1,X
Helena Morais,2,1,2,X,2,2,X,2,1
Bernardo Gomes,1,X,1,X,2,1,X,X,X
Eduarda Lopes,X,2,X,X,2,2,1,2,1
Bernardo Bastos,1,2,2,2,1,1,X,X,2
Luis Pinto,X,1,X,1,2,2,2,2,X
Joana Lopes,2,1,2,X,1,1,1,2,X
Beatriz Rodrigues,1,1,X,X,1,X,X,1,X
Daniela Pinto,2,2,X,X,1,X,1,2,X
Filipe Aguiar,1,2,1,1,X,1,X,X,X
Eduardo Bastos,2,X,2,1,2,2,1,2,1
