Daniela Silva,Coimbra, 02 05 18 19 
Filipa Rodrigues,Santarem, 01 05 13 16 
Diogo Santos,Lisboa, 05 07 09 15 
Zacarias Trindade,Setubal, 05 11 13 19 
Soraia Oliveira,Braga, 07 10 12 17 
Rogerio Barbosa,Braganca, 08 11 14 20 
Fernando Abreu,Coimbra, 01 02 16 18 
Ana Seabra,Vila Real, 01 02 14 19 
Daniel Abreu,Lisboa, 04 06 12 15 
Alexandra Vilela,Castelo Branco, 04 06 07 14 
Paulo Trindade,Beja, 08 13 18 19 
Joana Rodrigues,Braganca, 02 09 16 17 
Alexandra Nunes,Leiria, 01 06 07 12 
Luisa Nunes,Braganca, 05 06 13 17 
Luisa Jesus,Lisboa, 05 06 17 18 
Joana Silva,Guarda, 02 12 14 15 
Carlos Salgado,Guarda, 07 09 14 20 
Fernando Andrade,Lisboa, 04 05 19 20 
Joana Morais,Beja, 01 09 16 20 
Filipa Costa,Faro, 06 08 12 20 
Helena Chaves,Viana do Castelo, 02 06 13 17 
Eduarda Oliveira,Leiria, 08 15 17 20 
Daniela Chaves,Leiria, 11 13 17 20 
Antonio Pascoal,Castelo Branco, 01 02 04 05 
Rogerio Santos,Castelo Branco, 04 06 12 13 
Fernando Oliveira,Setubal, 01 14 15 17 
Inacio Gomes,Braganca, 01 03 15 16 
Diogo Gomes,Lisboa, 03 11 14 16 
Daniela Salgado,Setubal, 02 09 12 14 
Rogerio Oliveira,Porto, 01 08 11 18 
Alexandra Aguiar,Vila Real, 02 03 04 06 
Luisa Pascoal,Braganca, 07 11 16 17 
Bernardo Gomes,Viana do Castelo, 06 08 09 16 
Carlos Seabra,Braganca, 01 03 12 17 
Helena Trindade,Braga, 01 04 06 10 
Carla Aguiar,Portalegre, 03 04 09 16 
Zacarias Marinho,Aveiro, 04 06 07 11 
David Aguiar,Setubal, 02 04 07 14 
Rogerio Marques,Santarem, 02 03 07 14 
Inacio Oliveira,Portalegre, 07 08 10 12 
Luisa Aguiar,Vila Real, 03 06 08 13 
Paula Salgado,Leiria, 08 10 11 16 
Helena Marinho,Portalegre, 03 04 06 08 
